id,age,gender,current_country,highest_education_level,current_role,company_size,workplace_uses_machine_learning,yearly_salary,money_spent_on_ml,primary_analyzing_tool,time_coding,time_using_ml_methods
36,25-29,Male,India,Bachelors degree,Other,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"7,500-9,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
37,35-39,Male,South Korea,Masters degree,Data Analyst,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"10,000-14,999",100-999,"Advanced statistical software (SPSS, SAS, etc.)",1-2 years,1-2 years
38,25-29,Male,Brazil,Masters degree,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",ene-99,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3-5 years,1-2 years
39,35-39,Male,France,Masters degree,Data Engineer,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"40,000-49,999",0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",< 1 years,< 1 years
40,30-34,Female,United States of America,Doctoral degree,Product/Project Manager,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"90,000-99,999","> 100,000","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",10-20 years,5-10 years
41,25-29,Male,India,Bachelors degree,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499","1000-9,999","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1-2 years,1-2 years
42,22-24,Male,India,Masters degree,Not employed,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
43,22-24,Male,India,Masters degree,Not employed,,,,,Other,< 1 years,1-2 years
44,35-39,Male,Belarus,Masters degree,Software Engineer,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",1-2 years,1-2 years
45,25-29,Male,India,Bachelors degree,DBA/Database Engineer,50-249 employees,No (we do not use ML methods),"2,000-2,999",100-999,Other,3-5 years,< 1 years
46,22-24,Male,India,Bachelors degree,Software Engineer,50-249 employees,No (we do not use ML methods),"10,000-14,999",0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1-2 years,1-2 years
47,25-29,Male,India,Masters degree,Data Engineer,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,< 1 years
48,25-29,Male,Nigeria,Masters degree,Data Analyst,50-249 employees,No (we do not use ML methods),0-999,0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",< 1 years,2-3 years
49,35-39,Female,United Kingdom of Great Britain and Northern Ireland,Bachelors degree,Software Engineer,0-49 employees,No (we do not use ML methods),"40,000-49,999",ene-99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5-10 years,1-2 years
50,30-34,Male,Sweden,Masters degree,Data Analyst,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"40,000-49,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,3-4 years
51,35-39,Male,United States of America,Bachelors degree,Data Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"150,000-199,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,5-10 years
52,25-29,Male,India,Bachelors degree,Business Analyst,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"3,000-3,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
53,18-21,Male,India,Professional degree,Student,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",1-2 years,1-2 years
54,30-34,Male,Germany,Masters degree,Data Engineer,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"80,000-89,999","1000-9,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",1-2 years,1-2 years
55,25-29,Male,Germany,Bachelors degree,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
56,25-29,Male,India,Some college/university study without earning a Bachelors degree,Data Analyst,> 10000 employees,No (we do not use ML methods),0-999,ene-99,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
57,45-49,Female,India,Doctoral degree,Data Analyst,50-249 employees,No (we do not use ML methods),"2,000-2,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
58,40-44,Male,India,Masters degree,Other,> 10000 employees,I do not know,"1,000-1,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
59,30-34,Male,United States of America,Masters degree,Other,> 10000 employees,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,4-5 years
60,22-24,Female,India,I prefer not to answer,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
61,35-39,Male,Mexico,Masters degree,Data Scientist,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"40,000-49,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
62,30-34,Male,United States of America,Bachelors degree,Data Analyst,250-999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"100,000-124,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
63,25-29,Female,United States of America,Doctoral degree,Student,,,,,"Advanced statistical software (SPSS, SAS, etc.)",5-10 years,4-5 years
64,22-24,Male,France,Masters degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",100-999,Other,1-2 years,1-2 years
65,35-39,Prefer to self-describe,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"40,000-49,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
66,40-44,Male,Other,Masters degree,Other,1000-9999 employees,No (we do not use ML methods),"15,000-19,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
67,25-29,Prefer not to say,United States of America,Masters degree,Data Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"200,000-249,999","> 100,000","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,5-10 years
68,18-21,Male,Russia,Bachelors degree,Data Scientist,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"10,000-14,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
69,22-24,Male,India,Bachelors degree,Software Engineer,1000-9999 employees,I do not know,"15,000-19,999",0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1-2 years,1-2 years
70,22-24,Male,India,Masters degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
71,30-34,Male,India,Bachelors degree,Data Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"20,000-24,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
72,22-24,Male,Australia,Masters degree,Software Engineer,50-249 employees,No (we do not use ML methods),"50,000-59,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
73,18-21,Male,India,Some college/university study without earning a Bachelors degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
74,18-21,Male,Brazil,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
75,30-34,Female,India,Masters degree,Other,0-49 employees,I do not know,0-999,0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
76,22-24,Male,India,Bachelors degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,2-3 years
77,35-39,Male,Japan,Doctoral degree,Research Scientist,250-999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"1,000-1,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
78,35-39,Male,Canada,Doctoral degree,Research Scientist,1000-9999 employees,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,10-15 years
79,18-21,Male,India,Some college/university study without earning a Bachelors degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,< 1 years
80,30-34,Male,United States of America,Masters degree,Data Engineer,1000-9999 employees,We use ML methods for generating insights (but do not put working models into production),,,,,
81,30-34,Male,Portugal,Doctoral degree,Data Scientist,1000-9999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"15,000-19,999",0,Other,5-10 years,5-10 years
82,25-29,Male,United States of America,Masters degree,Data Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
83,25-29,Male,Russia,Bachelors degree,Software Engineer,50-249 employees,No (we do not use ML methods),"1,000-1,999",ene-99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,< 1 years
84,22-24,Female,India,Bachelors degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
85,30-34,Male,Canada,Masters degree,Business Analyst,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999","> 100,000","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
86,30-34,Female,United States of America,Masters degree,Data Engineer,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"125,000-149,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
87,22-24,Male,France,Masters degree,Data Scientist,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"40,000-49,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
88,22-24,Male,United States of America,Masters degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
89,30-34,Male,Canada,Doctoral degree,Research Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,4-5 years
90,25-29,Male,Poland,Masters degree,Research Scientist,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"40,000-49,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,1-2 years
91,22-24,Male,Indonesia,Masters degree,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),0-999,ene-99,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
92,35-39,Male,Netherlands,I prefer not to answer,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
93,30-34,Male,Italy,Some college/university study without earning a Bachelors degree,Data Scientist,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),"40,000-49,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
94,45-49,Male,France,Masters degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999","1000-9,999",Other,< 1 years,1-2 years
95,22-24,Male,India,Bachelors degree,Software Engineer,> 10000 employees,I do not know,"4,000-4,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,< 1 years
96,22-24,Male,Brazil,Bachelors degree,Business Analyst,50-249 employees,No (we do not use ML methods),"10,000-14,999",0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1-2 years,< 1 years
97,30-34,Male,United States of America,Masters degree,Business Analyst,0-49 employees,No (we do not use ML methods),"50,000-59,999",ene-99,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",1-2 years,< 1 years
98,30-34,Male,India,Bachelors degree,Business Analyst,50-249 employees,I do not know,"10,000-14,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
99,25-29,Male,Czech Republic,Masters degree,Research Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"30,000-39,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,4-5 years
100,35-39,Prefer not to say,United States of America,Masters degree,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"200,000-249,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,5-10 years
101,18-21,Male,India,No formal education past high school,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
102,25-29,Female,Other,Masters degree,Software Engineer,0-49 employees,No (we do not use ML methods),0-999,0,"Advanced statistical software (SPSS, SAS, etc.)",< 1 years,< 1 years
103,22-24,Male,Pakistan,Bachelors degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
104,50-54,Male,United Kingdom of Great Britain and Northern Ireland,Masters degree,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,1-2 years
105,30-34,Male,United States of America,Masters degree,Data Scientist,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"125,000-149,999","10,000-99,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",3-5 years,3-4 years
106,30-34,Male,Spain,Doctoral degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,2-3 years
107,25-29,Male,United States of America,Doctoral degree,Student,,,,,Other,1-2 years,1-2 years
108,30-34,Female,United States of America,Masters degree,Data Engineer,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"100,000-124,999","10,000-99,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",10-20 years,3-4 years
109,18-21,Male,India,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
110,35-39,Male,Sweden,Doctoral degree,Data Scientist,> 10000 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"70,000-79,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,3-4 years
111,25-29,Male,United States of America,Masters degree,Data Analyst,250-999 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"90,000-99,999","> 100,000",Other,3-5 years,1-2 years
112,25-29,Female,Morocco,Masters degree,Not employed,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,1-2 years
113,25-29,Male,India,Masters degree,Data Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"25,000-29,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
114,45-49,Male,India,I prefer not to answer,Other,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"3,000-3,999",100-999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,1-2 years
115,25-29,Male,Spain,Masters degree,Data Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"40,000-49,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",3-5 years,4-5 years
116,18-21,Male,India,Bachelors degree,Student,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
117,22-24,Male,Greece,Masters degree,Not employed,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",< 1 years,< 1 years
118,35-39,Male,Russia,Professional degree,Data Scientist,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"40,000-49,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",10-20 years,1-2 years
119,22-24,Male,United States of America,Bachelors degree,Data Analyst,0-49 employees,No (we do not use ML methods),"60,000-69,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",I have never written code,
120,25-29,Prefer not to say,Other,Doctoral degree,Software Engineer,0-49 employees,We have well established ML methods (i.e. models in production for more than 2 years),0-999,100-999,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
121,40-44,Male,India,Masters degree,Data Engineer,> 10000 employees,We use ML methods for generating insights (but do not put working models into production),"> 500,000","> 100,000","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,1-2 years
122,25-29,Male,United States of America,Masters degree,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
123,25-29,Male,India,Doctoral degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
124,30-34,Male,United States of America,Doctoral degree,Data Scientist,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"150,000-199,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",5-10 years,4-5 years
125,22-24,Male,Pakistan,Masters degree,Data Scientist,50-249 employees,We have well established ML methods (i.e. models in production for more than 2 years),"20,000-24,999","10,000-99,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
126,25-29,Male,Chile,Masters degree,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,2-3 years
127,25-29,Male,Other,No formal education past high school,Not employed,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
128,22-24,Male,India,Bachelors degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
129,22-24,Male,India,Bachelors degree,Not employed,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
130,22-24,Male,France,Masters degree,Software Engineer,0-49 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"30,000-39,999",100-999,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
131,18-21,Female,India,Bachelors degree,Software Engineer,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"15,000-19,999",100-999,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",1-2 years,1-2 years
132,18-21,Male,India,Bachelors degree,Student,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1-2 years,1-2 years
133,45-49,Male,Hong Kong (S.A.R.),Professional degree,Data Analyst,> 10000 employees,No (we do not use ML methods),"300,000-500,000",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
134,30-34,Female,Mexico,Masters degree,Software Engineer,50-249 employees,We recently started using ML methods (i.e. models in production for less than 2 years),"2,000-2,999",0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,< 1 years
135,25-29,Male,India,Masters degree,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",100-999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,< 1 years
136,50-54,Male,Spain,Doctoral degree,Research Scientist,1000-9999 employees,We have well established ML methods (i.e. models in production for more than 2 years),"50,000-59,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",20+ years,20+ years
137,18-21,Female,India,Masters degree,Data Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"4,000-4,999",ene-99,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1-2 years
138,22-24,Male,India,Bachelors degree,Not employed,,,,,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,< 1 years
139,25-29,Male,South Africa,Bachelors degree,Data Scientist,> 10000 employees,We have well established ML methods (i.e. models in production for more than 2 years),"25,000-29,999","1000-9,999","Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1-2 years
140,30-34,Male,Hungary,Doctoral degree,Student,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,3-4 years
141,30-34,Male,France,Doctoral degree,Research Scientist,250-999 employees,No (we do not use ML methods),"20,000-24,999",0,"Advanced statistical software (SPSS, SAS, etc.)",I have never written code,
142,40-44,Male,India,Masters degree,Data Scientist,> 10000 employees,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999","> 100,000","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3-5 years,2-3 years
143,60-69,Male,United States of America,Masters degree,Software Engineer,1000-9999 employees,No (we do not use ML methods),"100,000-124,999","> 100,000","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",20+ years,< 1 years
144,45-49,Female,Argentina,Professional degree,Data Analyst,1000-9999 employees,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",0,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,< 1 years
145,25-29,Male,Turkey,Doctoral degree,Data Scientist,1000-9999 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999","10,000-99,999","Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",5-10 years,5-10 years
146,55-59,Male,United States of America,Bachelors degree,Software Engineer,> 10000 employees,I do not know,"150,000-199,999",0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",10-20 years,< 1 years
